id,lat,lon,mean_tmin
USC00118740,40.0842,-88.2403,6.115641379310345
USC00116579,39.3686,-89.0867,6.5227114012448775
USC00124657,41.3053,-86.6286,4.33117302955665
USC00114400,38.4933,-88.9708,6.85966820019518
USC00116753,41.3497,-89.1075,4.4152185867473195
USC00203823,41.9353,-84.6411,3.672247838616716
USC00119354,39.4458,-88.5961,6.659874287384888
USC00204655,43.0608,-83.3075,3.56295135780364
USC00146808,37.2644,-101.7883,5.323435948361472
USC00253467,41.1272,-96.2475,4.699006246450881
USW00094961,48.7261,-94.6122,-1.4586140254003321
USR0000NBES,41.8975,-100.3108,3.681013532173433
USR0000MISA,47.6303,-91.4083,-1.6043399889073766
USC00205892,41.8406,-86.2658,5.480652057723142
USC00155280,37.6497,-86.4308,8.265092145285383
USW00013997,38.1317,-91.7647,7.62523377337734
USC00470604,46.7872,-90.8642,0.2593488649940262
USC00471847,45.8003,-91.4594,-0.8519064848316182
USC00476357,44.9461,-90.5517,0.5008743356763237
USC00478919,43.1742,-88.7364,2.9227197575089567
USC00142881,39.7756,-96.3503,4.685930735930735
USC00127999,39.5283,-85.7914,6.055662482566249
USC00146333,39.1175,-95.41,6.915768765133174
USW00014946,44.9044,-97.1494,0.8100917431192661
USC00325638,47.8214,-101.2922,-0.7262479429511798
USC00469610,37.6781,-82.2892,7.752382652150636
USW00014829,41.5264,-85.7872,5.049375173562901
USC00237263,37.9567,-91.7761,8.26528823771053
USC00114355,41.4256,-91.0094,5.186762457963927
USC00132110,43.3042,-91.7953,3.1413726571113574
USC00114489,39.1025,-90.3431,6.132573707449084
USC00134228,42.0103,-94.3953,3.093165228931653
USC00331042,41.4619,-84.5272,4.537893196781274
USW00024020,40.5233,-101.0344,2.63628430682618
USC00054546,37.115,-103.2986,3.5677531689650377
USC00138688,41.2825,-91.7078,3.758270255116345
USC00054082,40.5453,-102.3411,1.5080823431887256
USC00219033,43.8772,-95.1158,2.291620350577169
USC00335667,41.3817,-84.1514,5.068474498038312
USC00330563,40.3536,-83.7753,5.467913031436091
USW00014833,42.2636,-84.4564,4.280812517156192
USC00117077,39.9036,-91.4283,6.952375349316075
USC00469522,37.7883,-80.3083,4.477924791086351
USC00472851,44.6997,-87.3969,2.8692924267551145
USC00210355,43.6542,-92.9739,1.8725739563173898
USW00014850,44.7389,-85.5678,3.750006850253461
USC00234919,37.5544,-91.8833,7.228894437508673
USC00112736,42.0628,-88.2861,4.223933417261156
USC00399355,43.9708,-97.3489,1.3786260733801703
USC00475255,45.1308,-90.3439,0.09628353064588654
USC00204793,42.8133,-83.8039,3.5011627906976743
USW00093010,39.2733,-103.6675,-0.7362308857969416
USC00128290,39.2839,-86.7706,5.742867201802566
USC00369367,39.8986,-80.1656,4.421758939665883
USC00255040,42.83,-98.4711,1.8911800672577184
USC00472826,45.9336,-88.2583,-0.8584136601487203
USC00126001,37.9286,-87.8956,8.956986997459278
USW00093997,38.8725,-98.8092,5.995303030303029
USC00137613,40.7717,-95.3739,5.05468448608432
USC00322304,48.0486,-100.3094,-1.8983489576045889
USC00325710,47.4828,-100.445,-0.03426942861115009
USC00215204,44.4717,-95.7903,2.042210917090608
USC00126711,38.4353,-86.7033,8.060976532929603
USC00130807,42.0417,-93.8908,3.083028792912513
USC00251684,40.5208,-98.0536,4.410783760924725
USW00003936,39.1344,-96.6789,6.168642552606244
USC00115660,38.4417,-90.1347,9.090102389078496
USC00475581,43.78,-89.3172,2.224354549219935
USC00234226,37.3781,-89.6678,8.205655640874186
USR0000MBDA,46.8608,-94.7258,-1.5618705035971212
USC00140365,37.1942,-99.7633,5.361405926946933
USC00116526,41.3281,-88.9097,5.007504215851603
USW00003860,38.3653,-82.5547,8.130225872689941
USC00213567,44.7597,-92.8689,3.040547333147167
USC00441825,37.1456,-82.4908,5.07893649262984
USC00125174,41.2644,-87.4175,4.364504832609609
USC00477964,42.9011,-87.8494,5.03394716981132
USW00094847,42.2311,-83.3311,6.00024640657084
USC00133910,42.5464,-95.6111,2.6499724214009914
USC00331404,40.2914,-82.6547,5.015044868199663
USC00329430,48.1375,-103.7372,0.3014880952380949
USC00472839,43.7953,-88.4533,3.0753594862487788
USW00094892,41.8964,-88.2511,4.643129980763945
USC00111436,39.4761,-88.1653,7.4033859702399045
USW00094039,43.0261,-102.52,0.6601352283703597
USW00014941,41.98,-97.4336,3.7196905381350143
USC00202691,42.4669,-83.3625,3.830046754675469
USC00230204,38.1894,-94.0244,7.641520467836254
USC00475674,42.9906,-89.7419,3.150684931506854
USC00114530,41.5033,-88.1033,5.169040942232192
USC00127298,40.9239,-87.1753,5.104730290456432
USR0000MFER,47.9461,-91.4947,-0.5975599495161968
USC00137386,43.1817,-95.6639,2.144799670691549
USW00023067,38.0494,-103.5133,4.29440098806093
USC00054413,40.9881,-102.2653,3.0232715551974216
USW00014929,45.4558,-98.4133,0.2151813826146479
USC00463940,39.2189,-81.0486,5.261926163723918
USW00003026,39.2414,-102.2819,2.8302909689816103
USW00013981,37.6706,-95.4847,8.352257444764648
USC00231189,38.6278,-92.5567,7.529312354312354
USW00024017,42.8372,-103.0981,0.9449088805322534
USC00116661,41.6653,-88.9781,3.531800000000001
USC00214176,44.65,-93.6356,1.9430855924459338
USC00252770,41.8036,-98.8244,1.7675638371290563
USC00148259,39.2475,-96.5994,5.6449411764705895
USC00202015,42.3192,-83.2383,4.695723894939142
USC00398472,42.9917,-97.8703,2.883757874554916
USW00013994,38.7525,-90.3733,9.477768651608486
USC00051268,37.0103,-102.5536,4.10900212314225
USC00470742,43.99,-88.9411,2.242232403165348
USC00391873,45.7231,-98.3031,0.19928636501670174
USC00470045,42.6375,-89.0642,3.461389961389961
USC00057515,40.8656,-102.5161,2.27141466128808
USC00143822,37.4581,-96.23,6.3134875337939365
USC00253810,41.1056,-100.9775,2.003245013396844
USW00003868,39.4428,-87.3219,6.723701165181629
USW00014944,43.5878,-96.7294,2.6939767282683103
USW00024032,42.8586,-100.5514,1.9360027378507876
USC00471667,42.5492,-88.8753,2.927134864546525
USC00471604,46.1694,-90.9808,-0.897159699892818
USC00125337,40.58,-85.6586,5.578847245883022
USC00327655,48.6297,-99.8069,-3.6550606104863452
USC00396596,44.2403,-103.4039,2.918035221727138
USW00014842,40.6675,-89.6842,6.506407447973713
USC00237720,39.6828,-92.0464,5.29593461860855
USC00256765,42.2614,-103.5189,1.130813857119178
USW00014897,44.9275,-89.6253,1.882160460021906
USC00145306,39.0744,-96.8983,6.7524228418070695
USW00013932,37.165,-97.035,8.549855630413857
USC00235050,39.7506,-92.5064,7.260610713067212
USC00143545,37.5194,-97.3142,7.379139576704939
USC00216920,45.7575,-94.2072,-0.10079210880286917
USC00395638,43.1122,-100.6111,1.1307893649262977
USC00473268,44.4983,-88.1119,2.6457697841726615
USW00054811,41.8431,-88.8514,3.4641230854146547
USC00203661,42.6419,-85.2881,3.4778935820076806
USC00155097,37.1317,-86.1481,9.489488681336079
USC00156091,37.7797,-87.0686,10.187212276214826
