longitude,latitude
-94.3294,39.3667
-75.4787,40.2024
-80.641,34.9219
-112.6333,47.8833
-75.0833,46.0167
-76.4342,37.1575
26.67,-29.58
-91.7312,42.0111
151.4964,-33.3531
-112.25,46.8167
128.415,-16.0397
14.4,60.14
-96.351,30.6338
-92.5644,43.7047
-37.94,-11.65
-75.6828,43.1712
-78.6531,35.8438
-79.1249,42.8912
-93.787,37.426
-77.7173,34.8688
-102.5333,38.4333
-106.5854,35.2972
-92.4672,35.7264
-93.9617,44.3328
117.367,32.95
28.2,-25.62
-99.85,39.5333
-97.6952,30.501
-112.4167,30.8
-91.9646,37.2942
-123.7761,40.1817
48.2,41.2
-88.8303,30.4082
-84.7023,43.9887
-86.7168,34.7283
-84.1317,44.6614
-103.091,34.6137
-100.3833,30.0833
-71.7333,43.5833
-72.0,44.3167
-112.1765,35.1934
-79.3517,37.9408
-95.6167,17.2667
-40.57,-8.32
-76.9343,39.4037
-84.2225,39.7958
-122.15,52.1333
-105.061,40.5985
-82.5152,35.3712
-104.9773,39.5937
15.99,65.2397
74.67,20.32
147.9019,-20.2897
149.741,-33.1806
-84.3227,30.422
-117.7333,47.1167
-41.84,-19.68
-124.0833,44.6833
-115.9172,47.6428
13.38,56.62
-76.2464,36.8797
-120.8,42.7
-86.7828,32.3236
-82.2141,27.8973
73.35,16.383
116.1783,-31.8531
-101.2833,50.7667
-90.0167,30.35
-118.4799,35.1323
-97.4667,20.5333
-84.7,36.3667
148.9,-36.7
-85.3832,34.4066
-116.9052,49.9746
-118.2833,44.7667
-52.8667,66.6331
-89.3475,35.365
-71.1258,43.7197
-74.75,41.15
-76.0519,39.2167
-75.5833,42.8333
-112.2667,27.3333
-121.4333,48.1167
-79.7833,34.95
-90.2559,39.2361
-82.4585,28.1792
-84.0545,38.681
-155.8,20.1667
-102.2217,40.0692
-99.1534,38.1744
-95.8667,41.0
-68.83,0.43
-68.4751,44.4344
-105.0846,40.5468
-99.5603,38.7775
-82.3365,39.2906
-74.006,40.2754
-48.23,-22.53
98.672,3.558
78.52,9.35
